eq_id,dept,dept_num,equipment_name,asset_num,make,model,vendor,wo_qty,modified
EQ ID 2109,Toilet Partitions,40,3/4 Thomas return system,,Thomas,90 x 144,Thomas Manufacturing Inc,0,6/12/2024 9:56 AM
EQ ID 1461,Toilet Partitions,40,"Return system,Thomas,Evolve cell",,Thomas,90 x 120 tb,Thomas Manufacturing Inc,0,6/12/2024 9:56 AM
EQ ID 5325,Mfg Engineering,22,General Request,,,,Bobrick,1,5/10/2024 8:10 AM
EQ ID 5319,Maintenance,29,EV Chargers,,,,Bobrick,0,4/22/2024 11:58 AM
EQ ID 5273,Toilet Partitions,40,Edgebander Homag 2520 Servo 6 Coil,,Homag,Homag 2520 servo 6 coil,Stiles Machinery,9,2/29/2024 11:34 AM
EQ ID 2063,Toilet Partitions,40,Tenoner A 517 Single End,,Tenoner Single End,A517,Bobrick,5,1/17/2024 6:18 AM
EQ ID 5248,Machine Shop,25,Dremel 4000,,Dremel,4000,Bobrick,0,11/9/2023 1:06 PM
EQ ID 63,Toilet Partitions,40,"Return System, Thomas, 1040 Edgebander",10776,THOMAS,"60 x 120, 48"" receiver, 16"" Return",Thomas Manufacturing Inc,1,10/7/2023 10:27 AM
EQ ID 158,Toilet Partitions,40,"Return System, Thomas, Laminate Trimmer",,Thomas,60 X 120 RT TB,Thomas Manufacturing Inc,0,10/7/2023 10:23 AM
EQ ID 156,Toilet Partitions,40,"Return System, Thomas, 1/2"" Solid Panels",10776,Thomas,90 x 144 TB,Thomas Manufacturing Inc,0,10/7/2023 10:20 AM
EQ ID 5244,Machine Shop,25,Digital Scale for glue,,Brecknell,B120 (US),Grainger,0,10/5/2023 3:16 PM
EQ ID 18,Soap Dispenser Assembly,21,4112 Glue Machine,,Custom,Custom,Bobrick Washrom Equipment,0,9/22/2023 7:49 AM
EQ ID 5240,Maintenance,29,2nd Floor Patio,,,,Bobrick,0,9/21/2023 7:24 AM
EQ ID 5239,Maintenance,29,AC VAV Valves,,,,Bobrick,0,9/20/2023 9:45 AM
EQ ID 5218,Toilet Partitions,40,2 gallon glue tank with hand held glue nozzle gun,,,,Bobrick Washrom Equipment,0,6/29/2023 7:30 AM
EQ ID 1503,Toilet Partitions,40,"Router, CNC, Anderson Stratos/Nest TC+D",11535,Anderson,Stratos Nest TC+D,Anderson America,7,6/20/2023 6:59 AM
EQ ID 5215,Soap Dispenser Assembly,21,Autobag Imprinter,,Automated,PI412C,Bobrick Washrom Equipment,0,6/5/2023 1:41 PM
EQ ID 5212,Maintenance,29,Exhaust #6 First floor line 5 glue fumes exhaust,,,,Bobrick,0,4/6/2023 7:35 AM
EQ ID 5210,Maintenance,29,Electrical rooms,,,,Bobrick,0,3/21/2023 7:03 AM
EQ ID 749,Toilet Partitions,40,"Dust Collector, Donaldson Downflo Oval",,Donaldson,DFO4-36,Donaldson Torit,6,2/8/2023 8:43 AM
EQ ID 1570,Toilet Partitions,40,"1/2 "" Edge Finisher, Solid, Technolegno/ Universal 280",,Technolegno,Universal -280,Stiles Machinery,2,1/23/2023 1:14 PM
EQ ID 151,Toilet Partitions,40,"3/4 "" Edge Finisher, Solid, Technolegno/ Universal 280",11274,Technolegno,Technolegno Universal 280,TECNOLEGNO srl,3,12/5/2022 1:15 PM
EQ ID 1449,Maintenance,29,Umbrellas 2nd floor Patio,,,,Bobrick Washrom Equipment,0,11/23/2022 9:10 AM
EQ ID 114,Soap Dispenser Assembly,21,"Cartoner, 822, Econoseal E-System 2000 #2",8415,E-2000 Cartoner,8415,"Econocorp, Inc.",4,11/22/2022 12:01 PM
EQ ID 5185,Maintenance,29,Rear yard lot,,,,Bobrick,0,11/5/2022 9:53 AM
EQ ID 5165,Maintenance,29,ET water Controller Gen 4 and watering irrigation for outside plants,,Et water gen 4,205-169T A,Bobrick,0,8/18/2022 10:14 AM
EQ ID 1920,Maintenance,29,Water pressure to the building Bobrick 6901 Tujunga ave North hollywood Ca,,,,Bobrick,0,8/18/2022 8:45 AM
EQ ID 5164,Maintenance,29,Storm drain by Main building water regulator south East,,,,,1,8/1/2022 10:28 AM
EQ ID 5,Toilet Partitions,40,"Saw, 10' Panel, Laminate Line",7579,A & S,7 x 7,A & S Machinery Inc.,1,5/10/2022 8:23 AM
EQ ID 5076,Shipping,32,International shrink wrap machine,,Lantech,,Bobrick,0,5/2/2022 8:12 AM
EQ ID 5071,Toilet Partitions,40,Evolve cell Pop UP table,,Made in house,,Bobrick Washrom Equipment,0,4/20/2022 8:58 AM
EQ ID 5070,Toilet Partitions,40,Edge finisher Pop UP table,,Made in house,,Bobrick Washrom Equipment,0,4/20/2022 8:57 AM
EQ ID 2110,Toilet Partitions,40,Evolve Double Head Drilling Machine,,Custom,Bobrick,,1,4/2/2022 10:16 AM
EQ ID 2111,Toilet Partitions,40,Vacuum Lift Evolve Cell,,Unitech,Unimove CM700,,2,4/2/2022 10:16 AM
EQ ID 2117,Maintenance,29,Back up AC unit from Trane,,Trane,,,0,4/2/2022 10:16 AM
EQ ID 2133,Maintenance,29,Fire Alarm Panel,,,,,1,4/2/2022 10:16 AM
EQ ID 2136,Maintenance,29,Service kart,,,,,0,4/2/2022 10:16 AM
EQ ID 2075,Soap Dispenser Assembly,21,SN 9680114 Cell 30 Hi-Pot Tester,,Allied Research,8204,,0,4/2/2022 10:16 AM
EQ ID 2079,Soap Dispenser Assembly,21,Autosoap Branko Tester,,Branko,,,1,4/2/2022 10:16 AM
EQ ID 2082,Quality Assurance,27,"Digital PSI gauge , 9228301003",,,Pressure Gauge,,1,4/2/2022 10:16 AM
EQ ID 2083,Quality Assurance,27,"Digital Force Gauge, 3784067",,,,,1,4/2/2022 10:16 AM
EQ ID 2099,Mfg Engineering,22,AB Control Bottom Tester,,AB Control,Bottom Tester,,0,4/2/2022 10:16 AM
EQ ID 2100,Mfg Engineering,22,AB Control Top Tester,,AB Control,Top Tester,,0,4/2/2022 10:16 AM
EQ ID 2101,Assembly,23,Mountz Torque screwdrivers,,Mountz,Screwdriver,,0,4/2/2022 10:16 AM
EQ ID 2103,Toilet Partitions,40,Flamex spark detection and extinguishing system,,Flamex,FMZ-5000 MOD S,,0,4/2/2022 10:16 AM
EQ ID 1921,Soap Dispenser Assembly,21,General Request,,,,,0,4/2/2022 10:16 AM
EQ ID 1924,Soap Dispenser Assembly,21,DBH tester,,Bobrick,,,0,4/2/2022 10:16 AM
EQ ID 1925,Shipping,32,Stacker 23,,Raymond,730-R35TT,,1,4/2/2022 10:16 AM
EQ ID 1926,Maintenance,29,Exit Doors,,,,,1,4/2/2022 10:16 AM
EQ ID 1927,Maintenance,29,Exit Doors Level 2,,,,,1,4/2/2022 10:16 AM
EQ ID 1943,Maintenance,29,Door alarm trasmitter,,,,,1,4/2/2022 10:16 AM
EQ ID 1945,Quality Assurance,27,"EZ Torq II 150i Torque Analyzer, EZ1705007, QA",,Mountz,Torque Analyzer,,1,4/2/2022 10:16 AM
EQ ID 1963,Maintenance,29,test*,,,,,0,4/2/2022 10:16 AM
EQ ID 1969,Toilet Partitions,40,Chop saw by Holzma Saw,,,,,0,4/2/2022 10:16 AM
EQ ID 1976,Maintenance,29,Toilets all floors,,,,,1,4/2/2022 10:16 AM
EQ ID 1977,General,0,Led wall pack lights (Over Man Doors),,Deco Lighting,"Granada, full cut off series",,0,4/2/2022 10:16 AM
EQ ID 1978,General,0,"LSI Greenlee In-Ground light fixture 13"" (up lihgt)",,LSI Greenlee,RDB-150-277-SPV-W-RTL,,0,4/2/2022 10:16 AM
EQ ID 1986,Maintenance,29,Electrical switch gear and sub panels,,,,,1,4/2/2022 10:16 AM
EQ ID 2025,Shipping,32,Dock ramps,,,,,1,4/2/2022 10:16 AM
EQ ID 2060,Quality Assurance,27,Auto Soap Boundary Board,,,,,0,4/2/2022 10:16 AM
EQ ID 7,Maintenance,29,"Truck, Pick-Up",7332,Toyota,,,1,4/2/2022 10:16 AM
EQ ID 11,Maintenance,29,Platform Lift (Hunterlift),8392,Hunter,,,2,4/2/2022 10:16 AM
EQ ID 13,Toilet Partitions,40,"Notching machine, 1540 Door",,P & R Tool Co,Custom,,2,4/2/2022 10:16 AM
EQ ID 14,Soap Dispenser Assembly,21,822 Spout Assembly Machine #1,,Advantage Automation,Custom,,3,4/2/2022 10:16 AM
EQ ID 16,Soap Dispenser Assembly,21,4112 Pump Testing Machine,,,,,1,4/2/2022 10:16 AM
EQ ID 17,Soap Dispenser Assembly,21,B-40 Tester,,,,,2,4/2/2022 10:16 AM
EQ ID 154,Toilet Partitions,40,"CNC Drilling Machine, Automatic Leveling Bar",11294,Bobrick,Custom,,3,4/2/2022 10:16 AM
EQ ID 155,Toilet Partitions,40,"Shaper, Single Spindle, Northfield",10892,Northfield,LTSP,,1,4/2/2022 10:16 AM
EQ ID 157,Toilet Partitions,40,"Sissors Lift, HolzHer Saw",,Bishamon,Vision,,0,4/2/2022 10:16 AM
EQ ID 1452,Maintenance,29,GMC Flat bed truck,,GMC,FLAT BED,,0,4/2/2022 10:16 AM
EQ ID 1454,Soap Dispenser Assembly,21,Cell 3 Shell Bender Torque Driver,,Moun tz,NFT450-A ESD,,0,4/2/2022 10:16 AM
EQ ID 1455,Soap Dispenser Assembly,21,NT vendor station 6 cleco torque driver S/N YG2675,,Cleco,,,0,4/2/2022 10:16 AM
EQ ID 1456,Soap Dispenser Assembly,21,NT vendor station 8 cleco torque driver S/N ZJ8691,,Cleco,,,0,4/2/2022 10:16 AM
EQ ID 1457,Toilet Partitions,40,Panel Handler - 4ft,,Shopcart ADAPA,,,0,4/2/2022 10:16 AM
EQ ID 1881,Maintenance,29,Cabinet doors all of BLA,,,,,1,4/2/2022 10:16 AM
EQ ID 1882,Maintenance,29,Water faucets outside the restrooms 1 and 2nd floors,,,,,1,4/2/2022 10:16 AM
EQ ID 1918,Maintenance,29,Mezzanine light bulbs,,,,,1,4/2/2022 10:16 AM
EQ ID 1504,Soap Dispenser Assembly,21,Auto Soap Under Counter Assembly Tester 2,,Solatron,472,,1,4/2/2022 10:16 AM
EQ ID 1511,Toilet Partitions,40,"Jig, Drill, T-203040 ECOR T-Nut Drill, Laminate",,Bobrick,,,2,4/2/2022 10:16 AM
EQ ID 1512,Quality Assurance,27,1080 Drill Diameter Gages Go NoGo,Drawing #?,Bobrick,,,0,4/2/2022 10:16 AM
EQ ID 1514,Maintenance,29,2016 Hyundai tucson,,Hynndai,Tucson,,0,4/2/2022 10:16 AM
EQ ID 1515,Maintenance,29,2016 Hyundai elantra,,Hyundai,Elantra,,1,4/2/2022 10:16 AM
EQ ID 1521,Maintenance,29,South wall Fire riser system #1 controls 1 st floor office,,,,,0,4/2/2022 10:16 AM
EQ ID 1522,Maintenance,29,South wall Fire riser system #1 controls mezzanine level offices,,,,,0,4/2/2022 10:16 AM
EQ ID 1523,Maintenance,29,South wall Fire riser system #1 controls warehouse & level 2 offices,,,,,0,4/2/2022 10:16 AM
EQ ID 1524,Maintenance,29,West wall Fire riser system #2 controls manufacturing & mezzanine level,,,,,0,4/2/2022 10:16 AM
EQ ID 1525,Maintenance,29,West wall Fire riser system #2 controls Assembly area,,,,,0,4/2/2022 10:16 AM
EQ ID 1526,Maintenance,29,West wall Fire riser system #2 controls level 2,,,,,0,4/2/2022 10:16 AM
EQ ID 1527,Shipping,32,Merv Filters 13 24 x24 x1,,MERV,,,1,4/2/2022 10:16 AM
EQ ID 1528,Shipping,32,Merv filters 13 12x24x1,,MERV,,,1,4/2/2022 10:16 AM
EQ ID 1529,Quality Assurance,27,"Digital Force Gage, W08848, QA (CMS Recall)",,Chatillon,DFX2-010-NIST,,2,4/2/2022 10:16 AM
EQ ID 1535,Maintenance,29,Hankinson Air dryer,,Hankinson,PR300,,0,4/2/2022 10:16 AM
EQ ID 1541,Toilet Partitions,40,"Gage (Go/No Go), Drill Diameter, Solid",,BLA-MS,T-1080 LDG,,1,4/2/2022 10:16 AM
EQ ID 1542,Toilet Partitions,40,"Gage (Go/No Go), Drill Diameter, Laminate",,BLA-MS,T-1040 LDG,,2,4/2/2022 10:16 AM
EQ ID 1543,Toilet Partitions,40,"Cutout Jig B357, B347",,,,,1,4/2/2022 10:16 AM
EQ ID 1544,Toilet Partitions,40,Cutout Jig B3471/B3571,,,,,1,4/2/2022 10:16 AM
EQ ID 1561,Toilet Partitions,40,Step Drill 1080/1090 CNC Drilling Machine,,Custom,,,0,4/2/2022 10:16 AM
EQ ID 1562,Toilet Partitions,40,Step Drill 1040 CNC Drilling Machine,,Custom,,,0,4/2/2022 10:16 AM
EQ ID 1563,Toilet Partitions,40,Step Drill & Stop Phenolic Series Insert,,Custom,,,0,4/2/2022 10:16 AM
EQ ID 1564,Toilet Partitions,40,Cart - TPF Finish Goods,,Custom,,,0,4/2/2022 10:16 AM
EQ ID 1568,Toilet Partitions,40,CNC Drill Setup Gage-1040,,BLA MS,T-104030 CNC Set Up Gage,,0,4/2/2022 10:16 AM
EQ ID 1569,Toilet Partitions,40,CNC Drill Setup Gage-1080,,BLA MS,T-10801090 Reb B,,1,4/2/2022 10:16 AM
EQ ID 1571,Toilet Partitions,40,Concrete floor,,,,,1,4/2/2022 10:16 AM
EQ ID 1575,Toilet Partitions,40,Laminate Drill Hole Depth Gage,,BLA MS,T-104030 DG Laminate,,1,4/2/2022 10:16 AM
EQ ID 1577,Soap Dispenser Assembly,21,SN 9680990 CEll 30 Hi-Pot Tester,,Asociated Research,AR8206,,3,4/2/2022 10:16 AM
EQ ID 1584,Toilet Partitions,40,Pinch Roller (Heated),11536,"Black Bros,Co.",Panel Express NL74,Junheinrich,4,4/2/2022 10:16 AM
EQ ID 1587,Maintenance,29,26930-XL AquaSense Battery Powered Faucet,,,,,0,4/2/2022 10:16 AM
EQ ID 1591,Quality Assurance,27,"Boundary Board, Center Bend Tooling Marks, QA",,BED,,,1,4/2/2022 10:16 AM
EQ ID 1592,Quality Assurance,27,"Boundary Board, Weld Spatter, QA",,BED,,,1,4/2/2022 10:16 AM
EQ ID 1593,Maintenance,29,Shipping Lunchroom Filter Under sink,,Everpure Part # EV953426,,,1,4/2/2022 10:16 AM
EQ ID 1594,Maintenance,29,Lunchroom Filters across from Sandy's office under sink,,Scotman filters,,,1,4/2/2022 10:16 AM
EQ ID 1595,Maintenance,29,Main Lunchroom filters 2nd floor under sink,,Scotsman,,,1,4/2/2022 10:16 AM
EQ ID 1607,Maintenance,29,Scotsman ice maker Shipping lunchroom,,,MDT5N25 and MDT5N40,,1,4/2/2022 10:16 AM
EQ ID 1608,Maintenance,29,Scotsman ice maker Executive lunchroom,,Scotsman,MDT5N25 and MDT5N40,,1,4/2/2022 10:16 AM
EQ ID 1609,Maintenance,29,Scotsman ice maker Main lunchroom 2nd floor,,Scotsman,MDT5N25 and MDT5N40,,2,4/2/2022 10:16 AM
EQ ID 1615,Maintenance,29,Urinals HYB-7000,,Sloan,Sloan,,2,4/2/2022 10:16 AM
EQ ID 1616,Soap Dispenser Assembly,21,B-823 Pump Assembly Tester,11474,Bobrick,T-823-12,,0,4/2/2022 10:16 AM
EQ ID 1618,Maintenance,29,Storm drain location South west shipping Exit,,,,,2,4/2/2022 10:16 AM
EQ ID 1619,Maintenance,29,Storm drain Location south east next to shipping elevator,,,,,1,4/2/2022 10:16 AM
EQ ID 1620,Maintenance,29,Storm drain Location near Dust colletor,,,,,1,4/2/2022 10:16 AM
EQ ID 1622,Maintenance,29,East side skylights roof,,,,,0,4/2/2022 10:16 AM
EQ ID 1623,Toilet Partitions,40,1/2 Pop-up table made in house,,Made in house,,,0,4/2/2022 10:16 AM
EQ ID 1625,Maintenance,29,Backflow device by water meter #90398396,,FEBCO,825Y,,1,4/2/2022 10:16 AM
EQ ID 1628,Quality Assurance,27,"EZ Torq II Torque Analyzer, EZ1410017, QA (CMS Recall)",,Mountz,50i,,1,4/2/2022 10:16 AM
EQ ID 1647,Toilet Partitions,40,Solid Cell,,,,,1,4/2/2022 10:16 AM
EQ ID 1648,Toilet Partitions,40,Laminate Cell,,,,,1,4/2/2022 10:16 AM
EQ ID 1653,Toilet Partitions,40,Drill Jig - for Hinges Stile -I/S-O/S FC For Laminate,,BLA MS,T-10366006,,0,4/2/2022 10:16 AM
EQ ID 1654,Toilet Partitions,40,Drill Jig - for Door Hinges ( 3 Hinges) Laminate,,Custom,T-1039727,,0,4/2/2022 10:16 AM
EQ ID 1655,Toilet Partitions,40,Drill Jig - for Hinges for O/S Stile Hinges,,Custom,T- 10401590,,0,4/2/2022 10:16 AM
EQ ID 1656,Toilet Partitions,40,Drill Jig - OS Door Hinge,,Custom,T-10406622,,1,4/2/2022 10:16 AM
EQ ID 1657,Toilet Partitions,40,Drill Jig - for Door Hinges Laminate,,Custom,DJ-10406320,,0,4/2/2022 10:16 AM
EQ ID 1658,Toilet Partitions,40,TPF,,,,,2,4/2/2022 10:16 AM
EQ ID 1659,Soap Dispenser Assembly,21,SO-LOW freezer,,Environmental Equipment Co,CH45-5,,0,4/2/2022 10:16 AM
EQ ID 1664,Quality Assurance,27,"Boundary Board, Flange Welding, QA",,,,,1,4/2/2022 10:16 AM
EQ ID 1670,Maintenance,29,Outside locks exposed to the elements,,,,,1,4/2/2022 10:16 AM
EQ ID 1686,Toilet Partitions,40,Edgebander Pop up table,,Made in house,,,0,4/2/2022 10:16 AM
EQ ID 1687,Soap Dispenser Assembly,21,B-4112 Epoxy Thawing Chamber,,Harvard Apparatus,340932,,0,4/2/2022 10:16 AM
EQ ID 1698,Maintenance,29,Exterior up lights and Ballard's,,,,,0,4/2/2022 10:16 AM
EQ ID 1699,Maintenance,29,Exterior Man door lights,,,,,0,4/2/2022 10:16 AM
EQ ID 1700,Maintenance,29,Exterior HPS high lights,,,,,0,4/2/2022 10:16 AM
EQ ID 1701,Maintenance,29,Exterior parking structure lights,,,,,0,4/2/2022 10:16 AM
EQ ID 1704,Maintenance,29,Magnetic floor sweeper,,,,,1,4/2/2022 10:16 AM
EQ ID 1721,Machine Shop,25,10''Compound Miter Saw,,Dewalt,DW713,,0,4/2/2022 10:16 AM
EQ ID 1724,Toilet Partitions,40,O-Sama (Joos) Glue Spreader,11536,Roller gluing machine,S2R-1900,,6,4/2/2022 10:16 AM
EQ ID 1727,Mfg Engineering,22,B-2111 2112 assembly machine,,Solatron,476,,0,4/2/2022 10:16 AM
EQ ID 1767,Maintenance,29,DS-Oil/Water Seprator,,Donaldson,DS-0530,,1,4/2/2022 10:16 AM
EQ ID 1776,Maintenance,29,Front gate Facing Tujunga street,,,,,1,4/2/2022 10:16 AM
EQ ID 1780,Soap Dispenser Assembly,21,Cell 2 B-822 Pump Functional Tester,11644,Solatron,477,,2,4/2/2022 10:16 AM
EQ ID 1785,Maintenance,29,Terrazzo Floor,,,,,1,4/2/2022 10:16 AM
EQ ID 1786,Maintenance,29,Exterior and indoor windows,,,,,1,4/2/2022 10:16 AM
EQ ID 1787,Maintenance,29,Manufacturing floor high bay dusting,,,,,0,4/2/2022 10:16 AM
EQ ID 1788,Maintenance,29,Office floor high bay dusting,,,,,0,4/2/2022 10:16 AM
EQ ID 1789,Soap Dispenser Assembly,21,B-40 Screw Drill,,,,,0,4/2/2022 10:16 AM
EQ ID 1790,Maintenance,29,AC HP-1 Serving Shipping lead /Luchroom,,,,,0,4/2/2022 10:16 AM
EQ ID 1796,Machine Shop,25,"8"" Digimatic Caliper, A 18018637, MS, Victor",,Mitutoyo,"8"" Digimatic Caliper",,1,4/2/2022 10:16 AM
EQ ID 1802,Maintenance,29,Solar panels,,,,,1,4/2/2022 10:16 AM
EQ ID 1804,Mfg Engineering,22,Mini air compressor,,Porter Cable,c2002,,0,4/2/2022 10:16 AM
EQ ID 1846,Soap Dispenser Assembly,21,B-824 bottle leak tester,,TM Electronics,LT-L015-E,,1,4/2/2022 10:16 AM
EQ ID 1877,Toilet Partitions,40,TLF Intellistore (Rainbow Stacking System)- TLF211,11564,Homag,Storeteq S-200,,8,4/2/2022 10:16 AM
EQ ID 1878,Quality Assurance,27,"Boundary Board, Grab Bar Bending Tooling Marks, QA",,Bobrick,Boundary Board,,1,4/2/2022 10:16 AM
EQ ID 159,Machine Shop,25,Rotary Table,0784,,TSK 250/320,,0,4/2/2022 10:16 AM
EQ ID 160,Machine Shop,25,Rotary Table,,China,TSK 250-350,,0,4/2/2022 10:16 AM
EQ ID 163,Machine Shop,25,"Band Saw, Horiz, ACRA",,ACRA,712B,,0,4/2/2022 10:16 AM
EQ ID 166,Machine Shop,25,Tool Post Grinder,1152,,,,0,4/2/2022 10:16 AM
EQ ID 167,Machine Shop,25,Procunier Lead Screw Toppr,7423,Procunier,,,0,4/2/2022 10:16 AM
EQ ID 172,Soap Dispenser Assembly,21,002156LR ASG Torque Driver,,ASG H 105,CL-6500,,2,4/2/2022 10:16 AM
EQ ID 174,Soap Dispenser Assembly,21,740003L1 ASG Torque Driver,,ASG H 105,CL-6500,AMT Devices,1,4/2/2022 10:16 AM
EQ ID 175,Soap Dispenser Assembly,21,UJ2651 Cleco Torque Driver,,Cleco,14SCAO5Q,,2,4/2/2022 10:16 AM
EQ ID 176,Soap Dispenser Assembly,21,UJ2755 Cleco Torque Driver,,Cleco,14SCAO5Q,,2,4/2/2022 10:16 AM
EQ ID 177,Machine Shop,25,Belt Grinder,0009,Burr King,,,0,4/2/2022 10:16 AM
EQ ID 179,Machine Shop,25,Drill Grinder,,,,,0,4/2/2022 10:16 AM
EQ ID 180,Shipping,32,"Stacker, Electric R-9",,Raymond,EASI R30TT,,0,4/2/2022 10:16 AM
EQ ID 181,Toilet Partitions,40,Stacker R-19,,Raymond,EASI R30TT,,1,4/2/2022 10:16 AM
EQ ID 182,Shipping,32,Stacker # 10,,Raymond,20i-R30 TT,,1,4/2/2022 10:16 AM
EQ ID 185,Soap Dispenser Assembly,21,"Tester, 824, No Touch SD, Top Assy",98,No Touch Soap Dispenser,,,2,4/2/2022 10:16 AM
EQ ID 743,Maintenance,29,General Maintenance Request,,,,,7,4/2/2022 10:16 AM
EQ ID 744,General,0,General Maintenace Requests,,,,,0,4/2/2022 10:16 AM
EQ ID 1465,Maintenance,29,Parking structure elevator,,,,,1,4/2/2022 10:16 AM
EQ ID 1466,Maintenance,29,Employee elevator 1 Zone 42,,,,,2,4/2/2022 10:16 AM
EQ ID 1467,Maintenance,29,Maintenance elevator 2 Zone 43,,,,,1,4/2/2022 10:16 AM
EQ ID 1468,Maintenance,29,Emergency eye wash /shower stations,,,,,1,4/2/2022 10:16 AM
EQ ID 1470,Maintenance,29,Shipping dock elevator,,Serco,OMH-72120-15 /SHDL68-15,,0,4/2/2022 10:16 AM
EQ ID 1475,Maintenance,29,AC 2-1 Serving 2nd floor west,,Trane,SFHLF604,,0,4/2/2022 10:16 AM
EQ ID 1476,Maintenance,29,AC 2-2 Serving 2nd floor east,,Trane,SFHLF604,,0,4/2/2022 10:16 AM
EQ ID 1477,Maintenance,29,AC 2-3 Serving 2nd floor computer room,,Trane,THC092F,,0,4/2/2022 10:16 AM
EQ ID 1478,Maintenance,29,AC 2-4 Serving 2nd Floor back offices including HR,,Trane,WSC090,,0,4/2/2022 10:16 AM
EQ ID 1479,Maintenance,29,AC 2-5 Serving 2nd floor elevator equipment,,Trane,THC048F,,0,4/2/2022 10:16 AM
EQ ID 1480,Maintenance,29,AC M-1 Serving mezzanine floor east,,Trane,WCD360B4,,0,4/2/2022 10:16 AM
EQ ID 1481,Maintenance,29,AC 1-1 Serving TPF 1st floor south west,,Trane,YCD360B4,,0,4/2/2022 10:16 AM
EQ ID 1482,Maintenance,29,AC 1-2 Serving TPF 1st floor north west,,Trane,YCD360B4,,0,4/2/2022 10:16 AM
EQ ID 1483,Maintenance,29,AC 1-3 Serving Assembly 1st floor,,Trane,YCD360B4,,0,4/2/2022 10:16 AM
EQ ID 1484,Maintenance,29,AC 1-4 Serving TPF 1st floor east,,Trane,YCD360B4,,0,4/2/2022 10:16 AM
EQ ID 1485,Maintenance,29,HP WH1 Serving shipping office/luchroom warehouse south off east,,Trane,4WCC3024B1,,0,4/2/2022 10:16 AM
EQ ID 1486,Maintenance,29,HP WH2 Serving QA Lab warehouse,,Trane,4WCC3024B1,,0,4/2/2022 10:16 AM
EQ ID 1488,Toilet Partitions,40,"POP UP Table, 3/4"" Edge Finisher",,BLA-MS,1080-90 POP Up Table,,0,4/2/2022 10:16 AM
EQ ID 1490,Shipping,32,General request,,,,,0,4/2/2022 10:16 AM
EQ ID 1491,Quality Assurance,27,General request,,,,,0,4/2/2022 10:16 AM
EQ ID 1492,Machine Shop,25,General request,,,,,0,4/2/2022 10:16 AM
EQ ID 115,Soap Dispenser Assembly,21,Loctite Machine Cell1,,In House,,,1,4/2/2022 10:16 AM
EQ ID 116,Soap Dispenser Assembly,21,Loctite Machine Cell2,,In House,,,1,4/2/2022 10:16 AM
EQ ID 118,Soap Dispenser Assembly,21,"Tester, 822 Cell 2",,In House,Custom,,2,4/2/2022 10:16 AM
EQ ID 120,Mfg Engineering,22,Assembly Machine 2111/12,10885,Advantage Automation,Custom,,6,4/2/2022 10:16 AM
EQ ID 121,Toilet Partitions,40,"Drill Jig, 1080/ 1090 Leveling Bar",,Bobrick Drill Jig,1080/1090 Leveling Bar,,0,4/2/2022 10:16 AM
EQ ID 123,Soap Dispenser Assembly,21,N-16828 Cleco Torque Driver,,Cleco,5BRNL-7BF-C,,2,4/2/2022 10:16 AM
EQ ID 124,Soap Dispenser Assembly,21,43889 Aro Torque Driver,,Aro,,,1,4/2/2022 10:16 AM
EQ ID 127,Machine Shop,25,Digital Caliper 2,2092103,Mitutuoyo,"0-8""",,0,4/2/2022 10:16 AM
